model,revision,qid,shift,correct_label,logit_A,logit_B,logit_C,logit_D
EleutherAI/pythia-2.8b-deduped,step143000,18,0,B,15.234375,15.0859375,15.0,15.0859375
EleutherAI/pythia-2.8b-deduped,step143000,18,1,A,15.203125,15.1796875,15.015625,15.1328125
EleutherAI/pythia-2.8b-deduped,step143000,18,2,D,15.1796875,15.15625,15.0,15.0859375
EleutherAI/pythia-2.8b-deduped,step143000,18,3,C,15.2734375,15.28125,15.046875,15.1328125
EleutherAI/pythia-2.8b-deduped,step143000,19,0,C,15.8671875,15.484375,15.4921875,15.2421875
EleutherAI/pythia-2.8b-deduped,step143000,19,1,B,15.84375,15.5234375,15.421875,15.1796875
EleutherAI/pythia-2.8b-deduped,step143000,19,2,A,15.8671875,15.5234375,15.4375,15.1875
EleutherAI/pythia-2.8b-deduped,step143000,19,3,D,15.8359375,15.484375,15.4453125,15.2421875
EleutherAI/pythia-2.8b-deduped,step143000,20,0,C,14.25,15.0078125,14.8984375,14.7109375
EleutherAI/pythia-2.8b-deduped,step143000,20,1,B,14.5,15.0390625,15.0625,14.765625
EleutherAI/pythia-2.8b-deduped,step143000,20,2,A,14.2890625,15.1171875,15.0546875,14.7109375
EleutherAI/pythia-2.8b-deduped,step143000,20,3,D,14.3125,15.0546875,15.0,14.65625
EleutherAI/pythia-2.8b-deduped,step143000,21,0,D,15.1328125,15.2734375,15.546875,15.265625
EleutherAI/pythia-2.8b-deduped,step143000,21,1,C,15.0625,15.28125,15.484375,15.1875
EleutherAI/pythia-2.8b-deduped,step143000,21,2,B,14.9921875,15.265625,15.4453125,15.2421875
EleutherAI/pythia-2.8b-deduped,step143000,21,3,A,14.9140625,15.1328125,15.3984375,15.1171875
EleutherAI/pythia-2.8b-deduped,step143000,22,0,B,15.328125,15.6171875,15.5546875,15.703125
EleutherAI/pythia-2.8b-deduped,step143000,22,1,A,15.3984375,15.53125,15.515625,15.6171875
EleutherAI/pythia-2.8b-deduped,step143000,22,2,D,15.390625,15.53125,15.3125,15.515625
EleutherAI/pythia-2.8b-deduped,step143000,22,3,C,15.5234375,15.90625,15.5234375,15.828125
EleutherAI/pythia-2.8b-deduped,step143000,23,0,C,14.8984375,15.25,15.40625,15.4921875
EleutherAI/pythia-2.8b-deduped,step143000,23,1,B,14.5703125,14.9375,15.1640625,15.359375
EleutherAI/pythia-2.8b-deduped,step143000,23,2,A,14.5625,14.953125,15.234375,15.296875
EleutherAI/pythia-2.8b-deduped,step143000,23,3,D,14.9375,15.3984375,15.3828125,15.359375
EleutherAI/pythia-2.8b-deduped,step143000,24,0,C,13.71875,14.265625,14.0,14.078125
EleutherAI/pythia-2.8b-deduped,step143000,24,1,B,13.8203125,14.3828125,14.1015625,14.1953125
EleutherAI/pythia-2.8b-deduped,step143000,24,2,A,13.765625,14.3359375,14.0546875,14.2109375
EleutherAI/pythia-2.8b-deduped,step143000,24,3,D,13.6953125,14.2890625,13.9765625,14.09375
EleutherAI/pythia-2.8b-deduped,step143000,25,0,B,14.953125,15.0625,14.8203125,14.921875
EleutherAI/pythia-2.8b-deduped,step143000,25,1,A,14.921875,15.0859375,14.7890625,14.9453125
EleutherAI/pythia-2.8b-deduped,step143000,25,2,D,14.984375,15.1328125,14.7109375,14.875
EleutherAI/pythia-2.8b-deduped,step143000,25,3,C,14.9140625,14.96875,14.625,14.8125
EleutherAI/pythia-2.8b-deduped,step143000,26,0,B,15.515625,15.7109375,15.7421875,15.75
EleutherAI/pythia-2.8b-deduped,step143000,26,1,A,15.6484375,15.7421875,15.921875,15.78125
EleutherAI/pythia-2.8b-deduped,step143000,26,2,D,15.421875,15.6015625,15.765625,15.546875
EleutherAI/pythia-2.8b-deduped,step143000,26,3,C,15.484375,15.7265625,15.859375,15.7109375
EleutherAI/pythia-2.8b-deduped,step143000,27,0,B,14.625,15.109375,15.5234375,15.3125
EleutherAI/pythia-2.8b-deduped,step143000,27,1,A,14.65625,15.21875,15.671875,15.390625
EleutherAI/pythia-2.8b-deduped,step143000,27,2,D,14.65625,15.171875,15.515625,15.3203125
EleutherAI/pythia-2.8b-deduped,step143000,27,3,C,14.7265625,15.1953125,15.6015625,15.5
EleutherAI/pythia-2.8b-deduped,step143000,28,0,D,14.921875,15.0,15.25,15.0859375
EleutherAI/pythia-2.8b-deduped,step143000,28,1,C,14.765625,14.875,15.2578125,14.9609375
EleutherAI/pythia-2.8b-deduped,step143000,28,2,B,14.7265625,14.8828125,15.25,14.9609375
EleutherAI/pythia-2.8b-deduped,step143000,28,3,A,14.7265625,14.796875,14.921875,14.734375
EleutherAI/pythia-2.8b-deduped,step143000,29,0,B,14.265625,14.9921875,15.2578125,15.1953125
EleutherAI/pythia-2.8b-deduped,step143000,29,1,A,14.1953125,15.1484375,15.28125,15.234375
EleutherAI/pythia-2.8b-deduped,step143000,29,2,D,14.3125,15.1953125,15.453125,15.3671875
EleutherAI/pythia-2.8b-deduped,step143000,29,3,C,14.453125,15.2265625,15.4296875,15.3984375
EleutherAI/pythia-2.8b-deduped,step143000,30,0,C,14.6953125,15.5234375,15.2421875,15.3515625
EleutherAI/pythia-2.8b-deduped,step143000,30,1,B,14.7734375,15.453125,15.3125,15.3984375
EleutherAI/pythia-2.8b-deduped,step143000,30,2,A,14.8671875,15.546875,15.3984375,15.6171875
EleutherAI/pythia-2.8b-deduped,step143000,30,3,D,14.890625,15.484375,15.3671875,15.46875
EleutherAI/pythia-2.8b-deduped,step143000,31,0,A,14.4296875,14.796875,14.921875,14.8671875
EleutherAI/pythia-2.8b-deduped,step143000,31,1,D,14.3984375,14.6875,14.8984375,14.8515625
EleutherAI/pythia-2.8b-deduped,step143000,31,2,C,14.421875,14.6953125,15.0234375,14.8984375
EleutherAI/pythia-2.8b-deduped,step143000,31,3,B,14.3515625,14.65625,14.9609375,14.7890625
EleutherAI/pythia-2.8b-deduped,step143000,32,0,C,14.7109375,15.21875,15.3515625,15.0625
EleutherAI/pythia-2.8b-deduped,step143000,32,1,B,15.0390625,15.4765625,15.5703125,15.25
EleutherAI/pythia-2.8b-deduped,step143000,32,2,A,14.9140625,15.4453125,15.5546875,15.2265625
EleutherAI/pythia-2.8b-deduped,step143000,32,3,D,14.7109375,15.2265625,15.3828125,14.9921875
EleutherAI/pythia-2.8b-deduped,step143000,33,0,B,15.8125,16.03125,16.15625,15.8984375
EleutherAI/pythia-2.8b-deduped,step143000,33,1,A,15.765625,16.0625,16.015625,15.90625
EleutherAI/pythia-2.8b-deduped,step143000,33,2,D,15.5234375,15.640625,15.71875,15.6328125
EleutherAI/pythia-2.8b-deduped,step143000,33,3,C,15.78125,15.875,15.9375,15.890625
EleutherAI/pythia-2.8b-deduped,step143000,34,0,C,15.0625,15.5,15.421875,15.1640625
EleutherAI/pythia-2.8b-deduped,step143000,34,1,B,15.0625,15.59375,15.40625,15.171875
EleutherAI/pythia-2.8b-deduped,step143000,34,2,A,15.09375,15.6015625,15.6328125,15.3125
EleutherAI/pythia-2.8b-deduped,step143000,34,3,D,15.0390625,15.5078125,15.3828125,15.1875
EleutherAI/pythia-2.8b-deduped,step143000,35,0,C,14.7109375,14.671875,14.4921875,14.96875
EleutherAI/pythia-2.8b-deduped,step143000,35,1,B,14.6640625,14.6953125,14.5859375,14.9765625
EleutherAI/pythia-2.8b-deduped,step143000,35,2,A,14.5546875,14.5703125,14.296875,14.8984375
EleutherAI/pythia-2.8b-deduped,step143000,35,3,D,14.6640625,14.640625,14.3125,14.953125
EleutherAI/pythia-2.8b-deduped,step143000,36,0,D,15.0703125,14.8984375,14.9296875,14.578125
EleutherAI/pythia-2.8b-deduped,step143000,36,1,C,15.0546875,15.015625,14.921875,14.578125
EleutherAI/pythia-2.8b-deduped,step143000,36,2,B,15.2109375,15.0234375,14.9140625,14.6640625
EleutherAI/pythia-2.8b-deduped,step143000,36,3,A,15.015625,14.8046875,14.71875,14.46875
EleutherAI/pythia-2.8b-deduped,step143000,37,0,C,14.3046875,15.03125,14.9765625,14.84375
EleutherAI/pythia-2.8b-deduped,step143000,37,1,B,14.546875,15.0390625,15.1640625,14.8984375
EleutherAI/pythia-2.8b-deduped,step143000,37,2,A,14.453125,15.171875,15.1953125,14.9296875
EleutherAI/pythia-2.8b-deduped,step143000,37,3,D,14.4375,15.09375,15.109375,14.8203125
EleutherAI/pythia-2.8b-deduped,step143000,38,0,C,14.7734375,14.8828125,14.5859375,14.2421875
EleutherAI/pythia-2.8b-deduped,step143000,38,1,B,14.8515625,15.03125,14.78125,14.4765625
EleutherAI/pythia-2.8b-deduped,step143000,38,2,A,14.9140625,15.0703125,14.875,14.4453125
EleutherAI/pythia-2.8b-deduped,step143000,38,3,D,14.671875,14.8671875,14.484375,14.2265625
EleutherAI/pythia-2.8b-deduped,step143000,39,0,C,15.265625,14.6796875,14.8671875,14.515625
EleutherAI/pythia-2.8b-deduped,step143000,39,1,B,15.59375,15.0625,15.1015625,14.9765625
EleutherAI/pythia-2.8b-deduped,step143000,39,2,A,15.3671875,14.9296875,15.0625,14.734375
EleutherAI/pythia-2.8b-deduped,step143000,39,3,D,15.140625,14.6171875,14.6875,14.640625
EleutherAI/pythia-2.8b-deduped,step143000,40,0,C,13.9375,14.9375,14.984375,14.8203125
EleutherAI/pythia-2.8b-deduped,step143000,40,1,B,13.8984375,14.875,14.9296875,14.75
EleutherAI/pythia-2.8b-deduped,step143000,40,2,A,13.96875,14.96875,15.0,14.890625
EleutherAI/pythia-2.8b-deduped,step143000,40,3,D,13.875,14.8359375,14.9140625,14.7890625
EleutherAI/pythia-2.8b-deduped,step143000,41,0,A,14.9140625,15.5234375,15.4609375,15.21875
EleutherAI/pythia-2.8b-deduped,step143000,41,1,D,15.0,15.609375,15.578125,15.2890625
EleutherAI/pythia-2.8b-deduped,step143000,41,2,C,15.140625,15.640625,15.5625,15.3984375
EleutherAI/pythia-2.8b-deduped,step143000,41,3,B,15.1015625,15.5,15.453125,15.1796875
EleutherAI/pythia-2.8b-deduped,step143000,42,0,A,15.421875,15.5234375,15.46875,15.2578125
EleutherAI/pythia-2.8b-deduped,step143000,42,1,D,15.453125,15.484375,15.5,15.234375
EleutherAI/pythia-2.8b-deduped,step143000,42,2,C,15.40625,15.453125,15.4453125,15.15625
EleutherAI/pythia-2.8b-deduped,step143000,42,3,B,15.359375,15.3359375,15.40625,15.1875
EleutherAI/pythia-2.8b-deduped,step143000,43,0,C,13.9296875,14.5546875,14.828125,14.8828125
EleutherAI/pythia-2.8b-deduped,step143000,43,1,B,13.9140625,14.484375,14.9140625,14.8828125
EleutherAI/pythia-2.8b-deduped,step143000,43,2,A,13.8515625,14.625,14.921875,14.8125
EleutherAI/pythia-2.8b-deduped,step143000,43,3,D,13.9140625,14.78125,14.953125,14.890625
EleutherAI/pythia-2.8b-deduped,step143000,44,0,A,14.5234375,14.328125,14.7734375,14.8046875
EleutherAI/pythia-2.8b-deduped,step143000,44,1,D,14.53125,14.4921875,14.8046875,14.8828125
EleutherAI/pythia-2.8b-deduped,step143000,44,2,C,14.484375,14.5,14.796875,14.8046875
EleutherAI/pythia-2.8b-deduped,step143000,44,3,B,14.6328125,14.5078125,14.9296875,14.9375
EleutherAI/pythia-2.8b-deduped,step143000,45,0,C,14.65625,14.9140625,15.109375,14.828125
EleutherAI/pythia-2.8b-deduped,step143000,45,1,B,14.7421875,14.9921875,15.1796875,14.921875
EleutherAI/pythia-2.8b-deduped,step143000,45,2,A,14.5,14.9140625,15.09375,14.8359375
EleutherAI/pythia-2.8b-deduped,step143000,45,3,D,14.640625,14.9296875,15.078125,14.890625
EleutherAI/pythia-2.8b-deduped,step143000,46,0,A,14.9765625,15.0390625,15.1328125,14.71875
EleutherAI/pythia-2.8b-deduped,step143000,46,1,D,15.109375,15.1796875,15.125,14.8203125
EleutherAI/pythia-2.8b-deduped,step143000,46,2,C,14.875,14.796875,14.8671875,14.578125
EleutherAI/pythia-2.8b-deduped,step143000,46,3,B,15.0078125,15.0625,14.8984375,14.640625
EleutherAI/pythia-2.8b-deduped,step143000,47,0,B,15.4296875,15.421875,15.1640625,14.703125
EleutherAI/pythia-2.8b-deduped,step143000,47,1,A,15.2890625,15.3359375,15.078125,14.734375
EleutherAI/pythia-2.8b-deduped,step143000,47,2,D,15.4375,15.484375,15.1796875,14.78125
EleutherAI/pythia-2.8b-deduped,step143000,47,3,C,15.1171875,15.21875,14.96875,14.6484375
EleutherAI/pythia-2.8b-deduped,step143000,48,0,D,15.6796875,15.7421875,15.7265625,15.6953125
EleutherAI/pythia-2.8b-deduped,step143000,48,1,C,15.671875,15.703125,15.7421875,15.7109375
EleutherAI/pythia-2.8b-deduped,step143000,48,2,B,15.609375,15.6328125,15.6640625,15.625
EleutherAI/pythia-2.8b-deduped,step143000,48,3,A,15.6953125,15.765625,15.765625,15.6640625
EleutherAI/pythia-2.8b-deduped,step143000,49,0,C,14.8359375,14.9765625,15.0390625,14.9140625
EleutherAI/pythia-2.8b-deduped,step143000,49,1,B,14.8359375,15.0703125,15.1640625,15.0625
EleutherAI/pythia-2.8b-deduped,step143000,49,2,A,14.8671875,14.9375,15.046875,15.015625
EleutherAI/pythia-2.8b-deduped,step143000,49,3,D,14.8046875,14.9296875,15.0078125,14.9296875
EleutherAI/pythia-2.8b-deduped,step143000,50,0,A,14.9296875,14.7578125,15.203125,14.9921875
EleutherAI/pythia-2.8b-deduped,step143000,50,1,D,14.8828125,14.7421875,15.2578125,14.9765625
EleutherAI/pythia-2.8b-deduped,step143000,50,2,C,14.8359375,14.5859375,15.2109375,14.921875
EleutherAI/pythia-2.8b-deduped,step143000,50,3,B,15.015625,14.8359375,15.296875,15.0234375
EleutherAI/pythia-2.8b-deduped,step143000,51,0,B,15.015625,15.6015625,15.34375,15.3828125
EleutherAI/pythia-2.8b-deduped,step143000,51,1,A,14.921875,15.5859375,15.3203125,15.3203125
EleutherAI/pythia-2.8b-deduped,step143000,51,2,D,14.6484375,15.3125,15.09375,15.1796875
EleutherAI/pythia-2.8b-deduped,step143000,51,3,C,14.90625,15.4140625,15.21875,15.2265625
EleutherAI/pythia-2.8b-deduped,step143000,52,0,D,14.625,15.0234375,15.34375,14.890625
EleutherAI/pythia-2.8b-deduped,step143000,52,1,C,14.8515625,15.4375,15.5703125,15.125
EleutherAI/pythia-2.8b-deduped,step143000,52,2,B,14.9453125,15.09375,15.3984375,15.046875
EleutherAI/pythia-2.8b-deduped,step143000,52,3,A,14.7265625,15.0,15.234375,14.8046875
EleutherAI/pythia-2.8b-deduped,step143000,53,0,A,14.1328125,14.71875,14.5546875,14.765625
EleutherAI/pythia-2.8b-deduped,step143000,53,1,D,14.2109375,14.6484375,14.421875,14.5390625
EleutherAI/pythia-2.8b-deduped,step143000,53,2,C,14.0546875,14.4921875,14.21875,14.5625
EleutherAI/pythia-2.8b-deduped,step143000,53,3,B,14.1328125,14.609375,14.34375,14.796875
EleutherAI/pythia-2.8b-deduped,step143000,54,0,A,14.1015625,14.9765625,14.890625,14.7578125
EleutherAI/pythia-2.8b-deduped,step143000,54,1,D,14.4296875,15.078125,15.140625,14.8671875
EleutherAI/pythia-2.8b-deduped,step143000,54,2,C,14.25,15.140625,15.1484375,14.8359375
EleutherAI/pythia-2.8b-deduped,step143000,54,3,B,14.234375,15.0703125,15.078125,14.75
EleutherAI/pythia-2.8b-deduped,step143000,55,0,D,14.4609375,14.7109375,14.90625,14.6640625
EleutherAI/pythia-2.8b-deduped,step143000,55,1,C,14.4140625,14.625,14.9140625,14.6171875
EleutherAI/pythia-2.8b-deduped,step143000,55,2,B,14.4453125,14.78125,15.0390625,14.7734375
EleutherAI/pythia-2.8b-deduped,step143000,55,3,A,14.5,14.796875,14.9921875,14.734375
EleutherAI/pythia-2.8b-deduped,step143000,56,0,B,14.4140625,13.96875,13.875,13.59375
EleutherAI/pythia-2.8b-deduped,step143000,56,1,A,14.4296875,13.921875,13.8828125,13.328125
EleutherAI/pythia-2.8b-deduped,step143000,56,2,D,14.5546875,14.125,14.0546875,13.5703125
EleutherAI/pythia-2.8b-deduped,step143000,56,3,C,14.34375,14.0078125,13.8046875,13.5234375
EleutherAI/pythia-2.8b-deduped,step143000,57,0,A,15.2109375,15.1328125,15.4765625,15.265625
EleutherAI/pythia-2.8b-deduped,step143000,57,1,D,15.4453125,15.3046875,15.5390625,15.3203125
EleutherAI/pythia-2.8b-deduped,step143000,57,2,C,15.28125,15.2734375,15.3984375,15.1796875
EleutherAI/pythia-2.8b-deduped,step143000,57,3,B,15.25,15.046875,15.421875,15.171875
EleutherAI/pythia-2.8b-deduped,step143000,58,0,C,14.8828125,15.1953125,15.46875,15.109375
EleutherAI/pythia-2.8b-deduped,step143000,58,1,B,14.8671875,15.1796875,15.4140625,15.0859375
EleutherAI/pythia-2.8b-deduped,step143000,58,2,A,14.859375,15.15625,15.4140625,15.125
EleutherAI/pythia-2.8b-deduped,step143000,58,3,D,14.65625,14.859375,15.203125,14.859375
EleutherAI/pythia-2.8b-deduped,step143000,59,0,D,15.625,15.5390625,15.65625,15.515625
EleutherAI/pythia-2.8b-deduped,step143000,59,1,C,15.6171875,15.5078125,15.5546875,15.4375
EleutherAI/pythia-2.8b-deduped,step143000,59,2,B,15.515625,15.3515625,15.3828125,15.3515625
EleutherAI/pythia-2.8b-deduped,step143000,59,3,A,15.6484375,15.46875,15.5859375,15.4921875
EleutherAI/pythia-2.8b-deduped,step143000,60,0,A,14.984375,15.3125,15.5546875,15.3984375
EleutherAI/pythia-2.8b-deduped,step143000,60,1,D,14.90625,15.2890625,15.5234375,15.3828125
EleutherAI/pythia-2.8b-deduped,step143000,60,2,C,15.1015625,15.3828125,15.6796875,15.5
EleutherAI/pythia-2.8b-deduped,step143000,60,3,B,15.0390625,15.328125,15.6171875,15.4296875
EleutherAI/pythia-2.8b-deduped,step143000,61,0,C,15.125,15.546875,15.8359375,15.65625
EleutherAI/pythia-2.8b-deduped,step143000,61,1,B,15.0390625,15.3984375,15.765625,15.5390625
EleutherAI/pythia-2.8b-deduped,step143000,61,2,A,14.9921875,15.34375,15.640625,15.5078125
EleutherAI/pythia-2.8b-deduped,step143000,61,3,D,15.140625,15.5234375,15.8515625,15.7109375
EleutherAI/pythia-2.8b-deduped,step143000,62,0,C,15.3359375,15.6953125,15.796875,15.625
EleutherAI/pythia-2.8b-deduped,step143000,62,1,B,15.3515625,15.7109375,15.7734375,15.5546875
EleutherAI/pythia-2.8b-deduped,step143000,62,2,A,15.375,15.6953125,15.7109375,15.5625
EleutherAI/pythia-2.8b-deduped,step143000,62,3,D,15.3359375,15.671875,15.8125,15.609375
EleutherAI/pythia-2.8b-deduped,step143000,63,0,B,15.5625,15.5625,15.4609375,15.4296875
EleutherAI/pythia-2.8b-deduped,step143000,63,1,A,15.5703125,15.578125,15.4453125,15.3203125
EleutherAI/pythia-2.8b-deduped,step143000,63,2,D,15.5390625,15.6328125,15.46875,15.3984375
EleutherAI/pythia-2.8b-deduped,step143000,63,3,C,15.484375,15.484375,15.3359375,15.21875
EleutherAI/pythia-2.8b-deduped,step143000,64,0,C,14.1328125,14.328125,14.4140625,14.4921875
EleutherAI/pythia-2.8b-deduped,step143000,64,1,B,14.1484375,14.421875,14.5859375,14.6484375
EleutherAI/pythia-2.8b-deduped,step143000,64,2,A,14.2109375,14.4609375,14.5546875,14.6015625
EleutherAI/pythia-2.8b-deduped,step143000,64,3,D,13.96875,14.3125,14.515625,14.59375
EleutherAI/pythia-2.8b-deduped,step143000,65,0,B,15.046875,15.3984375,15.2890625,15.2265625
EleutherAI/pythia-2.8b-deduped,step143000,65,1,A,15.1171875,15.5,15.3671875,15.2265625
EleutherAI/pythia-2.8b-deduped,step143000,65,2,D,15.03125,15.1875,15.0,15.0390625
EleutherAI/pythia-2.8b-deduped,step143000,65,3,C,14.8203125,15.1953125,15.1328125,15.140625
EleutherAI/pythia-2.8b-deduped,step143000,66,0,A,15.5,15.7578125,15.7109375,15.5546875
EleutherAI/pythia-2.8b-deduped,step143000,66,1,D,15.6015625,15.84375,15.703125,15.5703125
EleutherAI/pythia-2.8b-deduped,step143000,66,2,C,15.4140625,15.8046875,15.6328125,15.546875
EleutherAI/pythia-2.8b-deduped,step143000,66,3,B,15.5859375,15.8671875,15.65625,15.578125
