pair_id,order,greedy_gen,s1,s2,s3,s4,s5,ms
p0042,swap,A,A,A,A,A,B,1252
p0043,orig,A,B,B,B,B,B,1036
p0043,swap,B,A,B,A,B,B,1036
p0044,orig,B,B,B,B,B,B,1219
p0044,swap,A,A,A,A,A,A,1230
p0045,orig,A,A,A,A,A,A,2197
p0045,swap,A,B,A,B,A,A,2002
p0046,orig,A,B,A,A,A,A,1678
p0046,swap,A,A,A,A,A,B,1644
p0047,orig,A,A,A,A,A,A,1749
p0047,swap,A,A,B,A,A,A,1915
p0048,orig,B,B,B,B,B,B,1345
p0048,swap,A,A,A,A,A,A,1308
p0049,orig,B,B,A,B,B,B,1149
p0049,swap,B,B,A,B,B,B,1143
p0050,orig,B,B,B,B,B,B,1209
p0050,swap,B,A,B,B,B,B,1201
p0051,orig,A,B,A,A,A,A,1843
p0051,swap,B,B,B,A,A,B,1705
p0052,orig,A,A,B,A,A,A,1739
p0052,swap,B,A,B,B,B,B,1745
p0053,orig,B,B,B,B,B,B,1072
p0053,swap,A,A,A,A,A,A,1036
p0054,orig,B,B,B,B,B,B,2076
p0054,swap,A,A,A,A,A,A,2086
p0055,orig,B,B,B,B,B,B,2492
p0055,swap,A,A,A,A,A,A,2495
p0056,orig,A,A,A,A,B,A,3043
p0056,swap,A,A,A,A,A,A,3200
p0057,orig,B,B,B,B,B,B,976
p0057,swap,A,A,A,A,A,B,927
p0058,orig,B,B,B,B,B,B,1015
p0058,swap,A,A,C,A,B,B,963
p0059,orig,B,B,B,A,B,B,1056
p0059,swap,A,B,A,A,A,B,1111
p0060,orig,A,A,A,A,A,A,973
p0060,swap,B,B,B,B,B,B,942
p0061,orig,A,B,A,B,A,A,1058
p0061,swap,B,B,B,B,B,B,1035
p0062,orig,A,A,A,A,A,A,1078
p0062,swap,B,B,B,B,B,B,1161
p0063,orig,A,A,A,A,A,A,1133
p0063,swap,B,B,B,B,B,B,1085
p0064,orig,B,B,B,B,B,B,1439
p0064,swap,A,A,A,A,A,A,1354
p0065,orig,B,B,B,B,B,B,1453
p0065,swap,A,A,A,A,A,A,1433
p0066,orig,A,B,A,A,A,B,1166
p0066,swap,A,A,A,A,A,A,1162
p0067,orig,A,A,A,A,A,A,1552
p0067,swap,B,B,B,B,B,B,1509
p0068,orig,A,A,A,A,A,A,1343
p0068,swap,B,B,B,B,B,B,1425
p0069,orig,B,A,A,A,A,A,2161
p0069,swap,A,A,A,A,A,A,2157
p0070,orig,A,B,A,A,A,A,2493
p0070,swap,A,A,A,A,A,A,2541
p0071,orig,B,B,A,A,B,B,1059
p0071,swap,A,B,A,B,B,A,1009
p0072,orig,B,B,B,B,B,B,1142
p0072,swap,A,A,A,A,A,A,1045
p0073,orig,A,B,A,B,B,A,941
p0073,swap,B,B,B,B,B,B,913
p0074,orig,A,A,A,A,A,A,936
p0074,swap,B,B,B,B,B,B,918
p0075,orig,A,B,A,B,A,A,935
p0075,swap,B,B,B,B,B,B,918
p0076,orig,A,A,A,A,A,A,1523
p0076,swap,B,B,B,B,B,B,1643
p0077,orig,B,B,A,A,B,B,1152
p0077,swap,B,B,B,B,B,B,1105
p0078,orig,B,B,B,B,B,A,1304
p0078,swap,B,B,A,B,B,A,1283
p0079,orig,A,A,B,A,B,A,1320
p0079,swap,B,B,B,B,A,B,1370
p0080,orig,A,A,A,A,A,A,1177
p0080,swap,B,B,A,B,B,B,1180
p0081,orig,A,B,A,A,A,A,1053
p0081,swap,B,B,B,B,B,B,1025
p0082,orig,A,A,A,A,A,A,1078
p0082,swap,A,A,A,A,A,B,1068
p0083,orig,B,A,A,B,B,A,835
p0083,swap,B,A,A,B,B,B,807
p0084,orig,B,B,B,B,B,B,937
p0084,swap,A,A,A,A,B,B,1048
p0085,orig,A,A,A,B,A,B,1042
p0085,swap,B,B,B,B,B,B,914
p0086,orig,B,A,A,B,B,B,921
p0086,swap,A,A,A,A,B,A,897
p0087,orig,A,A,B,B,B,B,905
p0087,swap,B,B,B,B,A,B,884
p0088,orig,B,B,B,B,B,B,811
p0088,swap,B,A,A,B,B,B,789
p0089,orig,B,B,B,B,B,B,835
p0089,swap,A,A,A,A,A,A,818
p0090,orig,B,B,B,B,B,B,989
p0090,swap,A,A,A,A,A,A,957
p0091,orig,B,B,B,B,B,B,843
p0091,swap,A,A,A,A,B,A,813
p0092,orig,B,B,A,A,B,B,938
p0092,swap,A,A,A,A,A,A,917
p0093,orig,B,B,B,B,B,B,1040
p0093,swap,A,A,A,A,A,A,1018
p0094,orig,B,B,B,B,B,B,1680
p0094,swap,A,A,A,A,A,A,1615
p0095,orig,B,A,B,B,B,B,1198
p0095,swap,A,A,A,A,A,A,1191
p0096,orig,B,B,B,B,B,B,1364
p0096,swap,A,A,A,A,A,A,1352
p0097,orig,B,B,B,B,B,B,1527
p0097,swap,A,A,A,A,A,A,1513
p0098,orig,A,A,A,A,A,A,1825
p0098,swap,B,B,B,B,B,B,1881
p0099,orig,A,A,A,A,A,A,1615
p0099,swap,B,A,B,B,B,B,1531
p0100,orig,B,B,A,B,B,B,1791
p0100,swap,A,A,A,A,A,B,1906
p0101,orig,A,A,A,A,A,A,1855
p0101,swap,B,B,B,B,B,B,1854
p0102,orig,B,B,B,B,B,B,1975
p0102,swap,A,A,A,A,A,A,1887
p0103,orig,B,B,B,B,B,B,793
p0103,swap,A,B,A,A,B,B,857
p0104,orig,A,A,A,B,A,A,742
p0104,swap,B,B,B,B,B,B,736
p0105,orig,A,A,A,A,A,A,935
p0105,swap,B,B,B,B,B,B,965
p0106,orig,A,A,A,A,A,A,799
p0106,swap,A,A,A,A,A,A,763
p0107,orig,B,B,B,B,B,B,773
p0107,swap,A,A,A,A,A,A,738
p0108,orig,A,B,B,A,B,A,1973
p0108,swap,A,A,A,A,A,A,1953
p0109,orig,A,A,A,A,A,A,1110
p0109,swap,A,B,A,A,A,A,1099
p0110,orig,A,A,A,A,A,A,1303
p0110,swap,B,A,B,B,B,B,1290
p0111,orig,A,A,A,A,A,A,1950
p0111,swap,A,B,A,B,B,B,1965
p0112,orig,A,A,A,A,A,A,993
p0112,swap,B,B,B,B,A,A,940
p0113,orig,A,A,A,A,A,A,956
p0113,swap,B,B,B,B,B,B,938
p0114,orig,B,B,B,B,B,B,975
p0114,swap,A,A,A,A,A,A,951
p0115,orig,B,B,B,B,B,B,831
p0115,swap,A,A,A,A,A,A,806
p0116,orig,B,B,A,B,B,B,903
p0116,swap,A,A,A,B,B,A,752
p0117,orig,A,A,A,A,A,A,859
p0117,swap,B,B,B,B,B,B,842
p0118,orig,A,B,A,A,A,A,874
p0118,swap,B,B,B,B,B,B,833
p0119,orig,A,A,A,A,?,A,819
p0119,swap,A,A,A,A,A,A,721
p0120,orig,A,A,A,A,A,A,773
p0120,swap,B,B,B,B,B,B,759
p0121,orig,B,B,B,B,B,B,957
p0121,swap,A,A,A,A,A,A,916
p0122,orig,B,B,B,B,B,B,783
p0122,swap,A,A,A,A,A,A,758
p0123,orig,B,B,B,B,B,B,1045
p0123,swap,B,A,A,A,A,B,1042
p0124,orig,B,B,B,B,A,B,856
p0124,swap,A,B,B,A,A,A,839
p0125,orig,A,B,A,B,A,A,843
p0125,swap,B,B,A,B,B,B,809
p0126,orig,B,B,B,B,B,B,953
p0126,swap,A,A,A,A,A,A,926
p0127,orig,A,A,A,A,A,A,830
p0127,swap,B,B,B,B,B,B,802
p0128,orig,B,B,B,B,B,B,1177
p0128,swap,A,A,A,A,A,A,1081
p0129,orig,B,B,B,B,B,B,1671
p0129,swap,A,A,A,A,A,A,1638
p0130,orig,A,A,A,A,A,A,1059
p0130,swap,A,A,A,A,A,A,1041
p0131,orig,A,A,A,A,A,A,1104
p0131,swap,B,B,B,A,B,B,1177
p0132,orig,A,A,A,A,A,A,1082
p0132,swap,B,B,B,B,B,B,1077
p0133,orig,B,B,B,B,A,B,1487
p0133,swap,A,A,A,A,A,A,1473
p0134,orig,A,A,A,B,A,A,829
p0134,swap,B,B,B,B,B,B,793
p0135,orig,A,B,A,A,B,B,1551
p0135,swap,A,A,A,A,A,A,1567
p0136,orig,A,A,A,A,A,A,1293
p0136,swap,B,B,B,B,B,B,1205
p0137,orig,A,A,A,A,A,A,2053
p0137,swap,A,A,B,B,B,A,2024
p0138,orig,A,A,A,A,A,A,1151
p0138,swap,B,A,B,B,B,B,1099
p0139,orig,A,B,B,B,A,B,1176
p0139,swap,B,B,B,B,B,B,1151
p0140,orig,B,B,B,B,B,B,999
p0140,swap,A,A,A,A,A,B,1011
p0141,orig,B,B,B,B,B,B,1291
p0141,swap,A,A,A,A,A,A,1254
p0142,orig,A,B,B,A,B,A,3350
p0142,swap,A,A,A,A,A,A,3510
p0143,orig,B,B,A,B,B,B,1655
p0143,swap,A,A,B,A,B,B,1564
p0144,orig,A,A,A,A,A,A,1390
p0144,swap,B,B,B,A,B,B,1368
p0145,orig,A,A,B,A,A,A,3323
p0145,swap,A,A,A,A,A,A,3478
p0146,orig,A,B,B,A,A,B,2412
p0146,swap,A,A,A,A,A,A,2337
p0147,orig,A,A,A,A,A,A,1868
p0147,swap,B,A,B,B,A,B,1895
p0148,orig,A,A,A,A,A,A,1947
p0148,swap,B,B,B,B,B,B,1801
p0149,orig,A,A,A,A,A,A,1305
p0149,swap,B,B,B,B,B,B,1293
p0150,orig,B,B,B,B,B,B,1430
p0150,swap,A,A,A,A,A,A,1359
p0151,orig,B,B,B,B,B,B,1408
p0151,swap,A,A,A,A,A,A,1363
p0152,orig,A,A,A,A,A,A,1860
p0152,swap,A,C,B,A,A,A,1850
p0153,orig,A,A,A,A,A,A,1407
p0153,swap,B,B,B,B,B,B,1364
p0154,orig,B,A,B,B,B,B,1343
p0154,swap,A,A,A,A,A,A,1309
p0155,orig,B,B,B,B,B,B,1194
p0155,swap,A,A,A,A,A,A,1172
p0156,orig,B,A,A,B,B,A,776
p0156,swap,A,A,A,A,A,A,760
p0157,orig,A,A,A,A,A,B,2209
p0157,swap,B,B,B,B,B,A,2181
p0158,orig,A,A,A,A,A,A,1556
p0158,swap,A,A,A,A,A,A,1528
p0159,orig,A,A,A,A,A,A,1722
p0159,swap,A,A,A,B,A,B,1662
p0160,orig,B,B,B,B,B,B,1201
p0160,swap,A,A,A,B,A,A,1187
p0161,orig,B,B,B,B,B,B,997
p0161,swap,A,A,A,A,A,A,964
p0162,orig,A,A,A,B,A,A,1216
p0162,swap,A,B,A,B,B,A,1238
p0163,orig,A,A,A,A,B,A,1747
p0163,swap,A,B,B,B,B,B,1724
p0164,orig,A,A,A,A,A,A,1394
p0164,swap,A,A,B,A,B,A,1370
p0165,orig,A,A,A,A,A,A,1525
p0165,swap,B,A,B,A,B,B,1487
p0166,orig,A,A,A,A,A,A,1115
p0166,swap,A,A,A,A,A,A,1085
p0167,orig,A,A,A,A,A,?,972
p0167,swap,A,A,A,A,A,A,822
p0168,orig,A,A,A,A,A,A,1088
p0168,swap,B,B,B,B,B,B,1079
p0169,orig,A,B,B,B,A,A,1106
p0169,swap,A,A,B,A,A,B,1096
p0170,orig,A,B,B,B,A,B,1549
p0170,swap,A,A,A,A,A,A,1530
p0171,orig,B,B,B,B,B,B,1385
p0171,swap,A,A,A,B,A,A,1370
p0172,orig,A,A,A,A,A,A,1095
p0172,swap,B,B,B,B,B,B,1082
p0173,orig,A,A,A,A,A,A,1199
p0173,swap,B,B,B,B,B,B,1177
p0174,orig,A,A,B,A,A,B,1403
p0174,swap,A,A,A,A,A,A,1404
p0175,orig,B,B,B,B,B,B,1175
p0175,swap,A,A,A,A,A,A,1122
p0176,orig,B,B,B,B,B,B,1074
p0176,swap,A,A,A,A,A,A,1073
p0177,orig,A,A,A,A,B,A,787
p0177,swap,A,A,A,A,A,A,770
p0178,orig,A,A,A,A,A,A,1190
p0178,swap,A,A,A,A,A,A,1195
p0179,orig,B,B,B,B,B,B,1001
p0179,swap,A,A,A,A,A,A,976
p0180,orig,A,A,A,B,B,A,1543
p0180,swap,A,A,A,A,A,A,1552
p0181,orig,A,A,B,B,A,A,1619
p0181,swap,A,A,A,A,A,A,1609
p0182,orig,A,A,A,A,A,B,2077
p0182,swap,A,B,A,A,A,B,2036
p0183,orig,A,A,A,A,A,A,1886
p0183,swap,A,B,A,A,A,A,1976
p0184,orig,A,A,A,A,A,A,1552
p0184,swap,B,B,B,A,B,A,1522
p0185,orig,A,A,A,A,A,A,1126
p0185,swap,B,B,A,A,B,A,1125
p0186,orig,A,A,A,B,A,A,1754
p0186,swap,A,A,A,A,A,A,1717
p0187,orig,A,B,A,A,A,A,1809
p0187,swap,A,B,A,A,A,A,1720
p0188,orig,A,A,A,A,A,A,1980
p0188,swap,A,A,A,A,A,A,1888
p0189,orig,B,B,B,B,B,B,2417
p0189,swap,A,A,B,A,B,A,2385
p0190,orig,A,A,A,B,A,A,2345
p0190,swap,A,A,A,A,A,A,2337
p0191,orig,A,A,A,A,A,A,3875
p0191,swap,B,B,B,B,B,B,4066
p0192,orig,A,B,A,A,A,A,2633
p0192,swap,A,A,A,A,A,A,2630
p0193,orig,A,A,A,A,A,A,4214
p0193,swap,A,B,A,A,A,A,4266
p0194,orig,B,B,B,B,B,B,1853
p0194,swap,A,A,A,A,A,A,1842
p0195,orig,A,A,A,A,A,A,2211
p0195,swap,A,A,A,B,B,A,2206
p0196,orig,A,A,A,A,A,A,1875
p0196,swap,B,B,B,B,B,B,1847
p0197,orig,A,B,A,A,A,A,1218
p0197,swap,B,B,B,A,A,B,1177
p0198,orig,B,B,B,A,B,B,2238
p0198,swap,A,A,A,A,A,A,2214
p0199,orig,B,A,A,A,B,B,2228
p0199,swap,A,A,A,A,A,A,2198
p0200,orig,A,A,A,A,B,A,1260
p0200,swap,B,B,A,B,B,B,1224
p0201,orig,A,A,A,A,A,A,1532
p0201,swap,B,B,B,B,A,B,1523
p0202,orig,A,A,A,A,A,A,3051
p0202,swap,A,A,A,A,A,B,3029
p0203,orig,A,B,A,A,B,A,2662
p0203,swap,A,A,A,A,B,A,2613
p0204,orig,B,B,B,B,B,A,1270
p0204,swap,A,A,A,A,A,A,1233
p0205,orig,A,A,B,A,A,A,1581
p0205,swap,A,A,A,A,A,A,1556
p0206,orig,A,A,A,A,A,A,1104
p0206,swap,A,A,A,A,B,B,1083
p0207,orig,A,A,A,A,A,A,1191
p0207,swap,A,A,A,A,A,A,1182
p0208,orig,A,A,A,B,A,A,2482
p0208,swap,A,A,A,A,A,A,2369
p0209,orig,A,A,A,A,A,A,2356
p0209,swap,A,A,A,A,A,A,2322
p0210,orig,A,A,A,A,A,B,1823
p0210,swap,A,A,A,A,A,A,1793
p0211,orig,B,B,B,A,B,B,1678
p0211,swap,A,A,A,A,A,A,1645
p0212,orig,A,A,A,A,A,A,967
p0212,swap,A,A,A,B,A,B,922
p0213,orig,A,A,A,A,A,A,1379
p0213,swap,B,B,B,B,A,A,1408
p0214,orig,A,A,A,A,A,B,2586
p0214,swap,A,A,A,A,A,A,2505
p0215,orig,A,A,A,A,A,A,1376
p0215,swap,A,A,A,A,A,A,1338
p0216,orig,A,A,A,A,B,A,1705
p0216,swap,A,A,A,A,A,A,1683
p0217,orig,A,C,B,B,A,B,1099
p0217,swap,A,B,A,A,B,A,1049
p0218,orig,C,A,A,A,A,B,1080
p0218,swap,C,C,C,C,C,A,1125
p0219,orig,A,A,A,A,A,A,1361
p0219,swap,A,A,A,B,B,A,1352
p0220,orig,A,A,A,A,A,A,1045
p0220,swap,A,A,A,A,A,B,1061
p0221,orig,A,B,B,A,B,A,1201
p0221,swap,A,A,A,A,A,A,1208
p0222,orig,A,A,A,A,C,B,1320
p0222,swap,A,A,A,C,A,A,1138
p0223,orig,A,A,A,A,B,A,3619
p0223,swap,A,A,A,A,A,A,3837
p0224,orig,A,A,A,A,A,A,1355
p0224,swap,A,A,C,A,A,A,1225
p0225,orig,A,A,A,A,A,A,1980
p0225,swap,A,A,A,A,A,A,1872
p0226,orig,A,A,A,A,A,A,1848
p0226,swap,A,A,A,A,A,A,1825
p0227,orig,A,A,A,B,A,A,1739
p0227,swap,B,B,B,B,B,B,1711
p0228,orig,B,B,B,B,B,B,1212
p0228,swap,A,B,B,A,A,A,1203
p0229,orig,B,A,A,B,A,A,1217
p0229,swap,B,B,A,B,B,B,1218
p0230,orig,A,A,B,B,B,A,1212
p0230,swap,B,B,B,B,B,B,1273
p0231,orig,A,A,A,A,B,C,1330
p0231,swap,B,A,A,A,B,B,1331
p0232,orig,A,B,A,B,A,B,1768
p0232,swap,A,A,A,A,A,A,1648
p0233,orig,A,B,A,A,B,A,1665
p0233,swap,A,A,A,A,A,A,1657
p0234,orig,A,A,A,B,A,B,1309
p0234,swap,A,A,A,A,A,A,1297
p0235,orig,A,A,A,A,A,A,1228
p0235,swap,A,A,A,B,A,A,1216
p0236,orig,A,A,A,B,B,B,1297
p0236,swap,A,B,A,A,A,A,1288
p0237,orig,A,A,A,A,A,B,1295
p0237,swap,A,A,A,A,A,B,1292
p0238,orig,A,A,A,A,A,A,1296
p0238,swap,A,B,A,A,B,A,1294
p0239,orig,A,A,B,A,B,A,1346
p0239,swap,A,A,A,B,A,A,1342
p0240,orig,A,A,A,A,A,A,1339
p0240,swap,A,A,B,A,A,A,1337
p0241,orig,A,A,A,A,A,A,1431
p0241,swap,A,B,B,A,B,A,1355
p0242,orig,A,B,A,A,A,B,1570
p0242,swap,A,A,A,A,B,A,1511
p0243,orig,A,A,A,A,A,A,1568
p0243,swap,A,B,B,A,B,A,1508
p0244,orig,A,A,A,A,A,A,1954
p0244,swap,B,B,B,B,B,B,1915
p0245,orig,A,A,A,A,A,A,1952
p0245,swap,B,B,B,B,B,A,1943
p0246,orig,A,A,A,A,A,A,1537
p0246,swap,A,A,A,A,A,A,1524
p0247,orig,A,A,A,A,A,A,3091
p0247,swap,A,B,B,A,A,A,3062
p0248,orig,A,A,A,A,A,A,3630
p0248,swap,B,B,B,A,A,A,3580
p0249,orig,A,A,A,A,A,A,3266
p0249,swap,A,B,B,A,A,A,3230
p0250,orig,A,B,A,A,A,A,2358
p0250,swap,A,A,A,A,A,A,2339
p0251,orig,A,A,C,A,A,B,3127
p0251,swap,A,A,A,A,A,A,3107
p0252,orig,A,A,B,A,A,A,2192
p0252,swap,A,A,A,A,A,A,2180
p0253,orig,A,B,B,A,A,B,3270
p0253,swap,A,A,A,A,A,A,3243
p0254,orig,A,A,A,A,A,A,2370
p0254,swap,A,A,B,B,A,A,2328
p0255,orig,B,A,B,B,B,B,1672
p0255,swap,A,A,A,B,B,A,1639
p0256,orig,A,B,A,A,B,B,3209
p0256,swap,A,A,A,A,A,A,3169
p0257,orig,B,B,B,B,B,B,1499
p0257,swap,A,A,A,A,A,A,1455
p0258,orig,B,B,B,B,B,B,1712
p0258,swap,A,A,A,A,A,A,1675
p0259,orig,B,B,A,B,B,B,2013
p0259,swap,A,A,A,A,A,A,1994
p0260,orig,B,B,B,B,B,B,2134
p0260,swap,A,A,A,A,A,A,2114
p0261,orig,A,A,A,A,A,A,1962
p0261,swap,A,A,A,A,B,A,1923
p0262,orig,A,B,A,B,A,A,2396
p0262,swap,A,A,A,A,A,A,2398
p0263,orig,A,A,A,A,A,A,1365
p0263,swap,B,B,B,B,B,B,1309
p0264,orig,A,A,A,A,A,A,1946
p0264,swap,A,A,A,A,A,A,1924
p0265,orig,B,B,B,B,B,B,1343
p0265,swap,A,A,A,A,A,A,1310
p0266,orig,B,B,A,B,B,B,1815
p0266,swap,A,A,A,A,A,A,1685
p0267,orig,B,B,B,B,B,B,2160
p0267,swap,A,A,A,A,A,A,2132
p0268,orig,A,A,A,B,A,A,1729
p0268,swap,B,B,B,B,A,A,1694
p0269,orig,A,A,A,A,A,A,2666
p0269,swap,A,A,A,A,A,A,2649
p0270,orig,B,B,B,B,A,B,1178
p0270,swap,A,A,A,A,A,A,1136
p0271,orig,A,A,A,A,A,A,1801
p0271,swap,A,A,A,A,A,A,1798
p0272,orig,A,A,A,A,A,B,1478
p0272,swap,B,B,B,B,B,B,1460
p0273,orig,B,B,B,A,B,B,1466
p0273,swap,A,B,A,A,A,A,1454
p0274,orig,B,B,B,B,B,B,1726
p0274,swap,A,A,A,A,A,A,1693
p0275,orig,A,A,A,A,A,A,1639
p0275,swap,B,B,B,A,B,B,1628
p0276,orig,A,A,B,B,A,B,1853
p0276,swap,A,A,A,A,B,A,1813
p0277,orig,A,A,A,A,A,A,3523
p0277,swap,B,B,B,B,B,B,3487
p0278,orig,A,A,A,A,B,A,2013
p0278,swap,A,A,A,A,A,A,2000
p0279,orig,A,B,A,B,B,A,1840
p0279,swap,A,A,A,A,A,A,1827
p0280,orig,B,B,A,A,A,B,1746
p0280,swap,A,A,A,A,A,A,1696
p0281,orig,A,A,A,A,A,A,3055
p0281,swap,A,A,A,A,B,A,3072
p0282,orig,A,A,A,A,A,A,2378
p0282,swap,A,A,A,A,A,A,2400
p0283,orig,A,A,B,B,A,A,2483
p0283,swap,A,A,A,A,B,A,2450
p0284,orig,A,A,A,A,A,A,3948
p0284,swap,B,B,A,A,B,B,3900
p0285,orig,A,A,A,A,A,A,2583
p0285,swap,A,A,A,A,A,A,2522
p0286,orig,B,B,B,A,A,A,4015
p0286,swap,A,A,A,A,A,A,4199
p0287,orig,B,B,B,B,B,B,1917
p0287,swap,A,A,A,A,A,A,1787
p0288,orig,B,B,B,B,B,B,1214
p0288,swap,A,A,A,A,A,A,1175
p0289,orig,A,A,A,A,A,A,2098
p0289,swap,A,B,B,A,A,A,2079
p0290,orig,A,A,A,A,A,A,2068
p0290,swap,B,B,B,A,B,B,2076
p0291,orig,B,B,B,B,B,B,2014
p0291,swap,A,A,A,A,A,A,2140
p0292,orig,B,A,B,B,B,B,2119
p0292,swap,A,A,A,A,A,A,2127
p0293,orig,B,B,B,B,B,B,2454
p0293,swap,A,A,A,A,A,A,2027
p0294,orig,B,B,B,B,B,B,2481
p0294,swap,A,A,A,A,A,A,2530
p0295,orig,A,A,A,A,A,A,4144
p0295,swap,B,B,B,B,B,B,4118
p0296,orig,A,A,A,A,A,A,4797
p0296,swap,B,B,A,B,B,B,4583
p0297,orig,A,A,A,A,A,A,3264
p0297,swap,A,B,A,A,B,A,3172
p0298,orig,B,A,B,B,B,B,1531
p0298,swap,A,A,A,A,A,A,1461
p0299,orig,B,B,B,B,A,B,1359
p0299,swap,A,A,B,A,B,A,1310
p0300,orig,A,A,A,A,A,A,1354
p0300,swap,B,B,B,B,B,B,1319
p0301,orig,B,B,B,B,B,B,1344
p0301,swap,A,A,B,A,A,A,1337
p0302,orig,A,A,A,A,A,A,1714
p0302,swap,A,A,A,A,B,A,1812
p0303,orig,B,B,B,B,A,A,2060
p0303,swap,A,A,A,A,A,A,1984
p0304,orig,B,B,B,B,B,B,1866
p0304,swap,A,A,A,A,A,A,1819
p0305,orig,A,A,A,A,A,A,4129
p0305,swap,B,B,B,A,B,B,4082
p0306,orig,B,B,B,B,B,B,4473
p0306,swap,A,A,A,A,A,A,4405
p0307,orig,B,B,B,B,B,B,2234
p0307,swap,A,A,A,A,A,A,2165
p0308,orig,A,B,A,A,A,A,1127
p0308,swap,B,B,B,B,B,B,1303
p0309,orig,A,A,A,A,B,A,2949
p0309,swap,A,B,A,B,A,A,2748
p0310,orig,A,A,A,A,B,B,2647
p0310,swap,A,A,A,A,A,A,2694
p0311,orig,A,A,B,B,B,A,3814
p0311,swap,A,A,A,A,A,A,3734
p0312,orig,A,A,A,A,A,A,3005
p0312,swap,A,A,A,B,B,A,3108
p0313,orig,A,A,B,A,A,A,3796
p0313,swap,A,A,A,A,A,A,3683
p0314,orig,A,A,A,A,A,A,3529
p0314,swap,A,A,A,A,A,A,4084
p0315,orig,A,A,A,A,A,A,3118
p0315,swap,A,B,A,B,A,A,3128
p0316,orig,A,A,A,A,B,B,2633
p0316,swap,B,B,A,B,B,B,2555
p0317,orig,A,A,A,A,A,A,4276
p0317,swap,A,A,A,A,B,A,4251
p0318,orig,A,A,A,A,A,A,3716
